date	Allendale/Irvington/South Hilton	Beechfield/Ten Hills/West Hills	Belair-Edison	Brooklyn/Curtis Bay/Hawkins Point	Canton	Cedonia/Frankford	Cherry Hill	Chinquapin Park/Belvedere	Claremont/Armistead	Clifton-Berea	Cross-Country/Cheswolde	Dickeyville/Franklintown	Dorchester/Ashburton	Downtown/Seton Hill	Edmondson Village	Fells Point	Forest Park/Walbrook	Glen-Falstaff	Greater Charles Village/Barclay	Greater Govans	Greater Mondawmin	Greater Roland Park/Poplar Hill	Greater Rosemont	Greenmount East	Hamilton	Harbor East/Little Italy	Harford/Echodale	Highlandtown	Howard Park/West Arlington	Inner Harbor/Federal Hill	Lauraville	Loch Raven	Madison/East End	Medfield/Hampden/Woodberry	Midtown	Midway/Coldstream	Morrell Park/Violetville	Mt. Washington/Coldspring	North Baltimore/Guilford/Homeland	Northwood	Oldtown/Middle East	Orangeville/East Highlandtown	Patterson Park North & East	Penn North/Reservoir Hill	Pimlico/Arlington/Hilltop	Poppleton/The Terraces/Hollins Market	Sandtown-Winchester/Harlem Park	South Baltimore	Southeastern	Southern Park Heights	Southwest Baltimore	The Waverlies	Upton/Druid Heights	Washington Village	Westport/Mt. Winans/Lakeland
2000	54950	73500	58000	47500	103500	70925	53000	72950	64500	42000	97000	125000	69900	62500	61450	90000	60000	72900	81250	56900	58900	170000	50000	40000	82500	85000	70000	71000	140000	50500	79000	71000	45000	64950	139625	49200	59950	113000	221000	75000	51625	56900	49596	65000	52500	45000	46000	84000	52000	49900	42500	58000	44000	45000	53000
2001	55000	78500	57582	49618	144500	69900	52000	75250	57000	43000	109000	131500	69000	68000	60300	90000	60000	67500	87500	55000	52500	212000	49900	44250	83250	86000	90500	77000	164000	56000	83000	72500	50000	69000	149728	47500	61250	147950	231500	74000	56000	51253	53000	52100	49900	65000	32195	108000	53500	45000	42546	64450	47500	50000	53000
2002	55000	82200	59929	49900	162000	74000	45000	75000	63700	35850	127000	167500	73000	68400	61000	125000	63523	74950	115000	60000	60000	240438	50034	44000	85000	94900	119000	76522	180000	53500	83950	75063	50000	79900	210000	45081	66000	151500	251550	76926	58000	56000	55000	56000	53950	55000	40000	141000	61500	50000	44082	59999	77750	60000	54900
2003	58250	84000	59000	55100	194000	75000	46000	84700	53950	43000	129500	160000	79450	69650	56000	145200	60840	82950	106750	63450	57500	235000	54000	31500	94000	101750	142280	75750	220000	45000	95000	80000	45000	105000	235000	47000	69900	200000	257950	85000	61000	65000	65000	32000	50000	75000	57000	150000	62000	45000	33750	60500	88000	59450	54500
2004	56575	91000	65000	57900	226900	90000	47250	101000	71950	31475	173500	160000	85000	120000	57500	190000	76200	89200	165000	65000	61000	239250	48000	31475	110000	125000	189000	89900	257250	60500	117950	92900	46284	129999	285000	45000	76900	175000	353000	95000	75000	100000	101500	55000	49500	75000	48000	193500	65550	39900	36000	68250	72000	66775	59500
2005	72000	120000	78000	63500	271075	121550	62000	107500	202940	50000	197000	170000	103000	155000	72000	265000	88000	112000	194500	75000	71819	266000	56600	47750	150000	155000	235000	130000	299250	82500	145000	125000	53900	166000	168450	52900	96000	285000	394263	125000	121352	125000	95000	71000	56750	94950	60000	248533	85000	53000	52500	80000	50000	110000	67200
2006	98000	160000	112400	94700	290000	142900	115075	145793	270680	65000	267500	280500	157450	302000	110000	235000	140000	150000	268000	115750	92000	537500	76500	62500	175000	185000	273000	175000	336000	355784	183500	156773	66000	199900	350000	110750	135000	355000	469900	162075	150000	209900	128000	154500	85750	178000	83000	318500	118489	87000	73000	139500	178500	187000	94000
2007	100000	183000	119000	95600	299000	150000	67000	152000	153000	67000	205000	238500	143000	292500	109000	287750	108425	162900	235000	122500	90000	311500	80000	69500	184500	188500	228000	160000	329000	300000	183750	165000	69250	203000	250000	70000	140500	284500	365000	171000	145000	200000	133000	97760	85500	132500	61000	288500	127000	81900	65000	135000	175000	146500	100000
2008	102000	169000	106000	89900	270000	145000	55000	169500	164800	66875	224000	253250	141750	250000	131000	266000	114750	150000	197000	125000	97000	350000	83500	65000	183000	188000	242000	168000	300000	318000	185000	160400	60000	182000	293950	95000	137800	275000	311949	164950	145000	200000	151000	62980	80000	125000	65000	278000	133500	87514	83000	134900	60000	154950	99900
2009	89196	154950	99900	80000	240000	130000	93500	167000	100000	50000	206250	205000	100500	220000	90000	245000	105000	131000	189000	105000	84300	295000	55000	48000	155000	169250	210000	109500	276250	269352	167000	148500	50000	175000	242900	59000	129760	293500	365000	138750	118300	159900	50946	197075	70000	99750	25250	248000	125000	43400	50000	115000	80000	154000	85250
2010	42500	142250	56000	58005	251000	103225	69000	117450	139000	13250	165000	245000	68150	210450	49100	215500	60250	102600	146000	47094	34000	380000	29700	12900	139175	242500	154950	215000	115000	275000	137000	134000	25000	164950	195000	24500	103000	280000	347500	138000	173750	84000	189950	44000	48094	48000	12886	250500	79000	21000	22500	84950	20100	70000	62250
